,,,,,,,,,,,,,Cyclically,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,Adjusted,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,Total,
,,,,,,,,,,,,Price,Return Price,
,,,,  Consumer,,,,,Real,,Real,Earnings,Earnings,
,S&P,,,Price,,Long,,,Total,,TR,Ratio,Ratio,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real,Return,Real,Scaled,P/E10 or,P/E10 or,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend,Price,Earnings,Earnings,CAPE,CAPE,
1875.03,4.59,0.32,0.44,11.51,1875.21,4.99,102.26,7.19,132.95,9.69,12.60,NA,NA,
1875.04,4.65,0.32,0.43,11.61,1875.29,4.95,102.75,7.07,134.35,9.43,12.33,NA,NA,
1875.05,4.47,0.32,0.42,11.32,1875.38,4.91,101.27,7.19,133.19,9.48,12.46,NA,NA,
1875.06,4.38,0.32,0.41,11.13,1875.46,4.87,100.92,7.26,133.53,9.45,12.50,NA,NA,
1875.07,4.39,0.31,0.40,11.13,1875.54,4.83,101.15,7.20,134.63,9.26,12.32,NA,NA,
1875.08,4.41,0.31,0.39,11.23,1875.63,4.79,100.75,7.08,134.89,8.99,12.03,NA,NA,
1875.09,4.37,0.31,0.39,11.13,1875.71,4.75,100.69,7.09,135.60,8.87,11.95,NA,NA,
1875.1,4.30,0.31,0.38,11.13,1875.79,4.71,99.08,7.03,134.21,8.68,11.76,NA,NA,
1875.11,4.37,0.30,0.37,11.04,1875.88,4.67,101.56,7.03,138.37,8.56,11.66,NA,NA,
1875.12,4.37,0.30,0.36,10.94,1875.96,4.63,102.44,7.03,140.37,8.44,11.56,NA,NA,
1876.01,4.46,0.30,0.35,10.85,1876.04,4.59,105.47,7.09,145.33,8.35,11.51,NA,NA,
1876.02,4.52,0.30,0.35,10.85,1876.13,4.58,106.89,7.09,148.10,8.20,11.36,NA,NA,
1876.03,4.51,0.30,0.34,10.85,1876.21,4.57,106.65,7.09,148.59,8.04,11.20,NA,NA,
1876.04,4.34,0.30,0.33,10.75,1876.29,4.56,103.54,7.16,145.08,7.95,11.14,NA,NA,
1876.05,4.18,0.30,0.33,10.37,1876.38,4.54,103.38,7.42,145.73,8.08,11.39,NA,NA,
1876.06,4.15,0.30,0.32,10.09,1876.46,4.53,105.55,7.63,149.67,8.14,11.54,NA,NA,
1876.07,4.10,0.30,0.31,10.09,1876.54,4.52,104.27,7.63,148.77,7.97,11.37,NA,NA,
1876.08,3.93,0.30,0.31,10.18,1876.63,4.51,99.02,7.56,142.17,7.73,11.09,NA,NA,
1876.09,3.69,0.30,0.30,10.28,1876.71,4.50,92.11,7.49,133.15,7.49,10.82,NA,NA,
1876.1,3.67,0.30,0.29,10.47,1876.79,4.49,89.94,7.35,130.90,7.19,10.46,NA,NA,
1876.11,3.60,0.30,0.29,10.56,1876.88,4.47,87.43,7.29,128.13,6.96,10.20,NA,NA,
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,85.41,7.16,126.04,6.68,9.86,NA,NA,
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,83.22,6.82,123.65,6.60,9.81,NA,NA,
